SubVertical,total_funding
Mobile Game Developer Studio,
Next Gen Mobility device manufacturer,
hyperlocal fashion retail platform,
Online ordering solution for restaurants and food chains,
Women\\xe2\\x80\\x99s Fashion etailer,
Mobile Balance Check App,
Industrial & Home Products Marketplace,
"mobile-first communication platform for on-field staff,",
Game Development Startup,
Branded Workspaces Aggregator,
Mobile Education Platform,
Mobile-only Retailers Engagement Solution,
Mobile Services & Solutions,
Enterprise Automation suite,
Blockchain Platform,
Carpooling Services,
Saas based Corporate Travel Management Solution,
Omni-channel web commerce solutions provider,
Beauty Products etailer,
Packers & Movers,
Mobile App & Web Development company,
Cloud Based ERP Software,
online translation and transliteration,
Co-Working Space Platform,
Digital payments & recharge platform,
Online Food Delivery platform,
Mobile Gaming Studio,
Online Wealth Management & Savings platform,
AI powered recruitment platform,
Transportation & On-demand delivery aggregator,
Parenting and Child Care portal,
Web/Mobile Music Streaming service,
Mobile Advertising App,
Online Fashion Discussion Community,
Micro Jobs Provider For Students,
Parenting and Baby care Platform,
Online Communication and Collaboration Platform For Educational Institutions,
Education Focused Financing Platform,
Personalized Learning Solutions & products,
Bike Aggregator App,
Online Interior Design platform,
Product Shopping Comparison App,
Health-based social networking & discovery App,
English Online News portal,
Home Loan Down payment assistance program,
Online Marketplace for Photographers,
Personality Development Mobile App,
Party Hall Booking platform,
Interior Design Marketplace,
parenting blog and kids\\xe2\\x80\\x99 events discovery platform,
E-sports platform,
Loan Comparison Portal,
Financial advisory mobile app,
"Venue, Events Booking platform",
Free Ad based Voice Calling,
Various Highway Help Services,
Mobile App for live emoji,
Community Platform for Artists and Designers,
Online Procurement Marketplace,
mobile based aggregator for local service providers,
Personal Device Assistant App,
Online Salon Aggregator,
Social Platform for babycare and parenting,
Online Talent Discovery Platform for Kids,
Matchmaking app for the differently abled,
AI Powered Content & Commerce platform,
Gadget & Appliances Service App,
Online Platform for small business loans,
Career Planning Services Portal,
Artist Discovery & Booking platform,
Startup Focused Media News Portal,
Cashback Mobile app,
eLearning & Skills Development plat,
Daily Subscription based Delivery service,
Wealth Management App,
Fitness Gym & Services Discovery platform,
Loyalty rewards platform,
"Style, Fashion Discovery Mobile app",
Retailer Supply Chain platform,
Bus Pooling services platform,
on-demand online talent marketplace,
Alcoholic beverage discovery platform,
Student Acquisition Platform,
Fitness centre Discovery & Booking Mobile app,
Employee engagements & Rewards platform,
AI-based health content platform,
Doctor Search Mobile App,
Govt Policy Research & Information portal,
Crowd Funding Platform,
MF investment platform,
Sports Based Online Media portal,
Mobile App for Doctors,
Dating & Singles Chat Platform,
Co-Living space aggregator,
Local Lifestyle Content and Discovery Platform,
Online event-booking platform,
Ed-Tech Platform,
Social Networking app for outdoor interests,
Peer-to-peer lending platform,
Online Tutoring Platform,
Home Decor eMarketplace,
Beauty products discovery platform,
Rental Property Finder platform,
Online Home Rental platform,
Co-Working Spaces Discovery & Booking platform,
Competitive Exam Preparation Platform,
Tea Delivery Portal & offline stores,
online marketplace for discovering fitness centres,
Cashback & Coupons platform,
Online exam practice & preparation platform,
Two Wheeler Taxi Service,
End-to-end Event Organizers Solutions,
Online Sports portal & Mobile app,
Online Community for Parents,
On-Demand home cleaning services,
Online Job Board,
Immunisation Management Platform,
On-demand Legal documentation and registration service,
Skill Showcasing platform,
Mobile customer rewards management platform,
Digital platform for Women,
Professional Tutors discovery & booking mobile app,
Educational Gamification & Simulation platform,
DIY event registration and ticketing portal,
Personal AI Transaction Engine App,
Budget Accomodation Aggregator,
online personalized insurance platform,
Online News Media Network,
P2P Messaging Service,
Online Lending MarketPlace,
Online Diabetes Management platform,
Professional Expert Advice Platform,
Online Beauty Parlour search & discovery Platform,
Online Fantasy Games,
Sports Discovery platform,
Social Network for Mothers,
Fashion Discovery App,
Mobile app based Concierge Service,
Online Ecosystem of social innovators,
Tech Enabler for Artists,
online marketplace for driving schools,
Auto Service Logistics & SAAS platform,
Online MF investment platform,
Chauffeurs Discovery for private car owners,
Online Car Repair and Servicing Booking platform,
Startup Support Platform,
Mobile app based Job Search,
Car Rental Software,
Online Loan Comparison & Discovery platform,
Language learning Mobile App,
Parenting & Child Care app,
Real Estate content portal,
Curated Platform for Developers,
Multi-Lingual self-publishing platform,
"Fitness Centres, Gym Discovery online marketplace",
Recruitment Portal,
Online Test Preparation Platform,
Online Marriage Registration services,
Online Rental discovery,
Online Furnishing Rental Platform,
Mobile based Geo-target Fashion Marketplace,
O2O fashion discovery platform,
Last minute hotel booking mobile app,
Library Chain Aggregator,
Fitness Discovery Platform,
Online Food Delivery for Train Travelers,
Wedding related services community,
online lifestyle media recommendation portal,
Location based Sports & Fitness Discovery App,
Govt service application portal,
Wedding Website Creator,
Mobile App based Fashion Network,
Self-Driven Cab booking platform,
Marketing app for retailers,
Crowdfunding Platform,
Digital Marketing & AdTech Platform,
Healthcare plan comparison platform,
Matchmaking App for Disabled,
Mobile Payments platform,
Healthy Food Delivery Platform,
On Demand Laundry Services,
Hobby & Activity Class Aggregator,
Self-Branded Websites & Apps for Ecommerce,
Self-Driven Car rental platform,
Womens Health Tracker App,
Internet of Things Platform,
Fractional Proerty Ownership & Rental platform,
Events & Activities Marketplace,
Job Board for Clue Collar Jobs,
Food Delivery platform,
Home Loan Rate comparison platform,
E-Tailoring service provider,
Deal Discovery App,
Payment Solution Mobile app,
Parenting Social Network Platform,
co-working space provider,
Hyperlocal daily needs Products delivery platform,
Sports Social Network mobile app,
Train Travel Info mobile app,
Automobile Service Booking App,
Online Dermatology consultation platform,
Online Travel Agecy,
Doctor Consultation platform,
Credit card fraud protection,
Finance management Mobile app,
Free Legal Advice,
Online Education & Tutoring portals,
Online Mutual Fund Investment platform,
Online Food Marketplace,
Online Grocery platform,
Pathology & Diagnostic Tests Portal,
B2B Mobile App for Pharmacies,
Parking Solutions mobile app,
Fitness Services Aggregator platform,
Online Medicine Delivery Aggregator,
Real Estate Platform,
Online mental healthcare,
Social Network for Healthcare Professionals,
Online/App Based Car cleaning service provider,
Online certification platform,
Instant Messaging App,
Vehicle maintenance Services platform,
B2C vernacular podcast aggregator platform,
Online Test Papers for competitive exams,
Consumer Technology and Artificial Intelligence Based Aggregator App,
Online Video Lectures platform,
Peer to peer Lending marketplace,
Online Lending mobile app,
AI based Fashion Search Portal,
Online Travel Portal,
Career progression Portal,
Online Legal Consultation platform,
"Curated Food, event & Lifestyle guide",
Co-Living Spaces Aggregator,
Background Verification Services,
Parenting Social Network,
Sports engagement platform,
Live Music Streaming App,
Cab aggregation & Rental platform,
on-demand concierge services,
Restaurant Menu & Food mobile app,
Online Chef Discovery & Booking Service,
Online Budget Hotel Aggregator & Booking Platform,
Online Tech Portals,
Alumni social network,
Healthcare Services Comparison Platform,
Scooter Rental Platform,
Hindi social networking portal,
O2O fashion ecommerce platform,
Compliance Management Software,
Sports Content Mobile App,
Digital Media Content and Distribution platform,
Video Social Network,
Civil Services News Aggregator,
Ambulance Aggregation Services,
Home Tutors search & Discovery,
"A Local Discovery App For Dining-Out, Party, Leisure and Events",
Co-working spaces,
Fitness Discovery & Booking platform,
Visual Content Discovery platform,
Cleaning Services Provider,
Online Puja Booking Service,
Electronic Health care records platform,
For profit Social Venture,
Creative Artists Discovery & Booking platform,
Instant Content Transfer Mobile App,
healthcare aggregator platform,
Fashion and Store discovery mobile app,
Events and Activities Discovery Platform,
Online Restaurant Reservation Platform,
Pet Parenting mobile app,
AI based Office Assistant Mobile App,
Luxury Helicopter Tourism Services portal,
Stay & Travel related services,
Online milk delivery,
Education based online portal,
Dentist Appointments booking platform,
Footwear Recommendation App,
instant messaging platform,
Co-Working Spaces aggregator,
Online Legal services platform,
Online Eyewear Retailer,
Credit Score Improvement platform,
Scrap Collection and Recycling platform,
Online Crowdfunding platform,
Medical Emergency Response App,
Education Marketplace,
Mobile entertainment App,
Online real estate listings,
Online Travel planner,
Online Blogging Platform,
Online Peer to Peer Lending platform,
Social Networking Platform for Writers,
Independent News Media Portal,
Online Insurance platform,
Sports Venue discovery and booking platform,
Fitness Centre Discovery Platform,
App-based Aggregator of Offline Businesses,
Unified Data Analysis platform,
Rental Bike Aggregator App,
News Portal,
Mobile based Vehicle maintenance App,
P2P platform for Fashion sales,
Peer-to-peer Social Learning platform,
Fashion Discovery Mobile app,
Online Travel Ticketing Platform,
Pet care portal & mobile app,
Health & Fitness Wearable Device,
Goods & Services Barter Platform,
Online Laundry & Washing service Booking & Delivery,
Loan Comparison & Deals platform,
Matrimony & Couples only mobile platform,
Health Products & Services Aggregator,
Healthcare Discovery & booking platform,
Doctor & Clinics Discovery platform,
Online Diagnostics and wellness platform,
Online consumer lending platform,
Event Registration and Ticketing platform,
Coupon & Cashback platform,
Online healthcare service discovery platform,
Last mile logistics solutions,
Online match-making app,
Online Job portal,
Train Related Information portal,
Tutor Discovery & Booking platform,
Tech Enabled Laundry Service Provider,
On Demand Cleaning Services Mobile App,
Mobile based private tutoring services,
Visual Search & Image Recognition Platform,
Online Pharmacy portal,
Home Loans Aggregation platform,
Legal Advice Platform,
On-Demand Healthcare Service provider,
online marketplace for wedding venues and vendors,
Casual Gaming platform,
interior design and home furnishing portal,
